quote_id,text,article_title,source,manual_score,notes
1rKEYZ7DIzHA39DiG7Tm,"Mr. Trump has it in mind that the easiest way to do it is absorbing our country and it is a real thing. In my conversations with him on ...,",Trump says he is serious about Canada becoming 51st state in Super Bowl interview,AP News,,
1su5G5wDUB8b7d0pSTgJ,"Senior ISIS Attack Planner,",Africa,NPR,,
23uJriPUYJcuiibeJ3RB,"I looked up to Whitney and Mariah and Celine endlessly,",Movies,NPR,,
25pHXH90optHYBCoZx6S,"It is an unfounded move because I have never — I repeat, never — violated the constitution. And it is a harmful endeavor because ... everyone loses, and no one gains.",Romanian President Klaus Iohannis announces resignation after pressure by populists,AP News,,
2H6iQUq6tNNDC0qqk7qU,the ICC’s actions are immoral and have no legal basis.,ICC condemns sanctions by Trump administration and pledges to continue its work,AP News,,
2J99MlvhhKwwHNFO1CsY,Crime without punishment,"Bosnian students rally for justice, drawing inspiration from anti-graft struggle in Serbia",AP News,,
2K7gnUWOm6C5PotAjoDd,This job is how I feed my kids.,More Israeli checkpoints are slicing up the West Bank,AP News,,
2QGzC6XojEtU5Dr2LOys,"I went over it with him in detail, and he agreed that we should shut it down,",Trump ally Musk is remaking government - but will they clash?,Unknown Source,,
2T2XKHXQIEttsZs8J3O8,There’s no legal basis,Trump is trying to halt the EV charger buildout. Experts say it’s not that easy,AP News,,
2kLzXg4Er9qVwi0g7NdP,but it seemed to me as though technology was taking opportunities away from us.,Latino workers working to overcome a technological divide brought on by automation and AI,AP News,,
2uMs47c76VfbsUu5nNjq,"This just goes to show how much we need support for these people. And this is not just D.C. people, by the way,",Volunteers are now tracking what’s already been lost in the USAID freeze,AP News,,
38YLfzc3ggTqfeAXEmXb,building a permanent place,NewsNews,BBC,,
3Chgzmuy46PjxmZRto4R,"I can’t stay calm when others, like I did, are crying,",Peru’s disappeared: Dozens look for relatives lost to violence. A woman who knows their sorrow helps,AP News,,
3EA64PSyGCItCzD16Odt,"It's a demolition site. It'll be reclaimed. It'll be levelled out, fixed up. There won't be anybody there,",Key US trade partners nervously wait for Trump to reveal new tariffs ,BBC,,
3EwQg5u7Jd9QxB95SRmI,He prepared us to eternally fight Stroessner’s regime.,"Paraguay’s disappeared: A dictator’s shadow is a roadblock for justice, but a few keep up the fight",AP News,,
3KpTORCuyzw5q2LOw9Ct,"They associate the European Union with human rights, with rule of law and with a better life. To get that, the new government has to work very, very actively. Hard homework is needed to be done. Reforms have to be done,",Kosovo’s prime minister looks for allies for new Cabinet after failing to win parliamentary majority,AP News,,
3P8oaiHD7PtW6zY5dVVL,"to cooperate to mitigate risks of these possible sanctions, so that the court can continue to carry out its work and fulfil its mandate.",Trump signs order imposing sanctions on International Criminal Court over investigations of Israel,AP News,,
3SGFgRW9lBaqRHOJWLXo,"You can see that he is trying to take out criminals,",Who is Daniel Noboa? The conservative millionaire president seeking reelection in Ecuador,AP News,,
3WORnqJmuQYWqbssHqzq,special relationship,Trump has unleashed chaos by distraction upon the international community. That’s no accident,AP News,,
3htKrM6g9vBv6GNHRoLq,relatively normal,Trial witness identifies Rushdie stabbing suspect as being responsible,BBC,,
3jQyNnbUBkI1qRQKxTgx,not viable as a country,Trump says he is serious about Canada becoming 51st state in Super Bowl interview,AP News,,
3vQheX3SJVadBSaFfegn,unreliable entity,A timeline of US-China tit-for-tat tariffs since Trump’s first term,AP News,,
3voMz9FTbHvpIsG3yrLg,not being a good ally.,Trump has unleashed chaos by distraction upon the international community. That’s no accident,AP News,,
4C8HCSxMoWVXkb9Y3JP7,Many people would say that shutting down is not the best way to reform them.,Vatican charity says Trump administration’s gutting of USAID is ‘reckless’ and could kill millions,AP News,,
4VouyMCNXLO5OzPLztq3,That may have exacerbated the symptoms for people who’d had mild ADHD but were able to cope,Rise in diagnoses is prompting more US adults to ask: ‘Do I have ADHD?’,AP News,,
4WTNTWiDoCQy4PxCSjyC,"To keep that market, we have to use carbon capture,",Efforts to put carbon dioxide underground face less support in Trump’s second term,AP News,,
4WcXnuKf8rR4F0LMxMMC,difficult decisions,NewsNews,BBC,,
4bEzSEdUjBDWIokjgavI,The Legend of Zelda: Echoes of Wisdom,Gaming,NPR,,
4o7kCTd15HjkXWw7tBKw,"panic, fear and confusion","HIV infections could jump over 6 times if US support is dropped and not replaced, UNAIDS chief says",AP News,,
4syhjbhoolvIRYcPyLdM,"I say this with the Egyptian government, with the Jordanian government and with the people who can count on human dignity: the relocation of a population is unacceptable and against international law,",Trump says no right of return for Palestinians under Gaza plan,BBC,,
4tQADisMEGyZgyguFDhz,the Riviera of the Middle East.,"Hamas says it will delay the release of more hostages, putting Gaza ceasefire at risk",AP News,,
57nyfNaoUNJtVzr4LuEl,"No, they wouldn't, because they're going to have much better housing,",Trump says no right of return for Palestinians under Gaza plan,BBC,,
5GeOuXZIbUcuLO3sLZTI,teach Latinos more digital skills to evolve with the workforce.,Latino workers working to overcome a technological divide brought on by automation and AI,AP News,,
5LyqF10d6frKAncSZY4s,"Eventually, I’m hopeful that he’ll be able to become a refugee and come to the United States,",They helped US order airstrikes against Taliban. Now Trump’s moves have left those Afghans in limbo,AP News,,
5R3Nl1LDqC5IkQmvqVQn,It's a new chapter for America.,Trump ally Musk is remaking government - but will they clash?,Unknown Source,,
5WtoHFCKVqUemIyKZ6P7,a part of the government.,War-torn Lebanon forms its first government in over 2 years to end deadlock,AP News,,
5XDBpXN5atQJ1J8gLkhK,starvation as a method of warfare,ICC condemns sanctions by Trump administration and pledges to continue its work,AP News,,
5cHMGjsft8yJQRzC9J7P,"They need every penny to restitch the fabric to bring the community back together,","Hawaii court rules against insurance companies in Maui wildfire, allowing $4B settlement to proceed",AP News,,
5pNlGfCCNfTBBCmEc1d1,"Education is one of our major, major goals.",Pair of rare black wolves caught on camera in Polish forest by wildlife researchers,AP News,,
5t5thqrWFGaS88jGeepa,"We’re waiting for the decisions, but we are not very, I would say, optimistic,",Trump has unleashed chaos by distraction upon the international community. That’s no accident,AP News,,
5zjenQgP3wxz8f0cUYUQ,They will not allow a settlement,Could a rebellion in eastern Congo widen into a regional war?,AP News,,
61jMpfDVYKrprptYiBhX,"For a full year, we have been told that on the 'day after', the PLO [Palestine Liberation Organisation], the Palestinian Authority, needs to be in the Strip,",Trump says no right of return for Palestinians under Gaza plan,BBC,,
66PXvAvpYQ9yAk67ElVc,"Most CEOs of publicly traded multinational tech companies want predictability. They want stability. They want a strong dollar,",Trump ally Musk is remaking government - but will they clash?,Unknown Source,,
67axsfMAZt336nrrWOq1,a complete violation,Middle East latest: Hamas says it will delay hostage release set for Saturday,AP News,,
68nn162Btlm10gLDA0dW,a punching motion,Trial witness identifies Rushdie stabbing suspect as being responsible,BBC,,
6JMeHjJ1e2ZBBk2rdrYv,tangible and significant consequences,Trump signs order imposing sanctions on International Criminal Court over investigations of Israel,AP News,,
6RcFPEKE900P8gYAOHgY,"All we can hope for is that the people, God’s people and the people of goodwill, will help and protect those vulnerable people who are suddenly made much more vulnerable,",Vatican charity says Trump administration’s gutting of USAID is ‘reckless’ and could kill millions,AP News,,
6URikRd3FbM8pTSrXOdp,What am I supposed to tell my wife?,More Israeli checkpoints are slicing up the West Bank,AP News,,
6nHWsTKwVoGlpIjQHxji,"I knew I was Glinda,",Music Features,NPR,,
6zJfBfsZLKZFW9J37Prh,a smart guy,North Korea’s Kim slams US-South Korea-Japan partnership and vows to boost his nuclear program,AP News,,
6zOGu2N66k7Y9qnogj23,"If they have to return now, it'll be years before you could ever - it's not habitable,",Trump says no right of return for Palestinians under Gaza plan,BBC,,
74GH7cfw5S6uZeSnEEQG,"Also we help our families back home,",They helped US order airstrikes against Taliban. Now Trump’s moves have left those Afghans in limbo,AP News,,
78dJeuXppPXBf10zwDpG,"The ICC has recently turned itself into a biased political tool and has discredited the entire international court system,",ICC condemns sanctions by Trump administration and pledges to continue its work,AP News,,
7Gql0mL4U5NQ2DkXmf2i,"Let’s rip the waste out of our great nation’s budget, even if it’s a penny at a time,","So long, penny! Trump orders US to ditch 1-cent coin after decades of complaints",AP News,,
7JN9imRW5tOrbMgayNHB,"President Trump campaigned on lowering costs. But heâs letting billionaire Elon Musk and Project 2025 Architect Russ Vought kill the Consumer Financial Protection Bureau,",Key US trade partners nervously wait for Trump to reveal new tariffs ,BBC,,
7MeGvn4YajVYKbDxg6bd,"to improve the accuracy of diagnoses in this country,",Rise in diagnoses is prompting more US adults to ask: ‘Do I have ADHD?’,AP News,,
7Mp4SFyvnsjiiO7lHtpd,forced exile.,Who is Daniel Noboa? The conservative millionaire president seeking reelection in Ecuador,AP News,,
7WHTulVDBTqfPA2gKqZN,"The Netherlands regrets the executive order imposing sanctions on the ICC. The court’s work is essential in the fight against impunity,",ICC condemns sanctions by Trump administration and pledges to continue its work,AP News,,
7WsjRogIh3t26XlGD4AP,devastating blow to Luton,NewsNews,Unknown Source,,
7lZFR99Eb6DjH3goe86Z,"providing intelligence, surveillance, and reconnaissance support at the request of our Philippine allies,",US Marine from California identified as one of 4 people killed in Philippines plane crash,AP News,,
7ux9ACSl5y0IlNeBn5Ek,"As far as us rebuilding it, we may give it to other states in the Middle East to build sections of it. Other people may do it through our auspices. But we're committed to owning it, taking it, and making sure that Hamas doesn't move back.",Trump says no right of return for Palestinians under Gaza plan,BBC,,
7v1AC0N0AjFkuj7dU1GA,"We wanted to kind of put a stake in the ground,",Efforts to put carbon dioxide underground face less support in Trump’s second term,AP News,,
7xJoeehGhBj5e0tOJqT8,"I have been waiting for this moment for five years,",A new skate park in Baghdad is the safe space Iraqi youth have longed for,AP News,,
7xXHolMhxKeAqwaYx4rT,Make Europe Great Again.,Europe,NPR,,
883y8PA3DiTpmIRgkmI9,"Not Like Us,",Pop Culture,NPR,,
8HoaeTgcJ6M0XqGDwKqV,lucky no-one was killed,NewsNews,Unknown Source,,
8ItMbzd1oCOClVfdxPaI,"We accept the mandate of the people with great humility,",Modi’s party wins most seats in high-stakes New Delhi polls for first time in 27 years,AP News,,
8PdU4g4jBGIZyaaPdloe,"criminal organization,",Volunteers are now tracking what’s already been lost in the USAID freeze,AP News,,
8bIb4PxhlE2MlK2NBEiM,completely upend,Key US trade partners nervously wait for Trump to reveal new tariffs ,BBC,,
8cM4WrzPSmugwtwdteCH,"is selflessly serving President Trump's Administration as a special government employee, and he has abided by all applicable federal laws",Trump ally Musk is remaking government - but will they clash?,Unknown Source,,
8h9ydPdAHPMlUed2WXAW,"because nobody wants to use pennies, they fall out of active circulation much faster than other coins.","So long, penny! Trump orders US to ditch 1-cent coin after decades of complaints",AP News,,
8i94l6lQj4lDHczMp7qe,"Before, we were often forced to move or got injured because there were no proper places for us,",A new skate park in Baghdad is the safe space Iraqi youth have longed for,AP News,,
8lE3OjxgBOCpY3LUVcfE,violates the rights to freedom of expression and religion.,The Two-Way,NPR,,
8p7r6VRr8tFjPivd4MCw,"Elon can't do and won't do anything without our approval, and we'll give him the approval where appropriate. Where it's not appropriate we won't,",Trump ally Musk is remaking government - but will they clash?,Unknown Source,,
8vnOFAowA4v2ozWXO9uC,"brilliant and bracing,",The Two-Way,NPR,,
8whLi2vVXZio9M6UgORO,assumptions,Trial witness identifies Rushdie stabbing suspect as being responsible,BBC,,
99MW7m8BOtWdG8Rwm388,directly infringes upon Saudi sovereignty,Trump says no right of return for Palestinians under Gaza plan,BBC,,
99senwdH9ODUo8mW86hy,I'm a nationalist and a globalist,NPRWorld,NPR,,
9BEd4Ik0kMN3TxwDZOIe,has not hesitated to use the law and the Constitution to keep things working the way he wants,Who is Daniel Noboa? The conservative millionaire president seeking reelection in Ecuador,AP News,,
9MxwqMd2DZrqkPH59mGu,"Orlando in Love,",All Songs Considered,NPR,,
9NLUY2tiODStAhLLkUXT,Make Europe Great Again.,NPRWorld,NPR,,
9NSW6YGp8NNoKkpDm9BA,while trying to reduce the delay as much as possible in order to mitigate harm.,More Israeli checkpoints are slicing up the West Bank,AP News,,
9S7eaOdan0nBicg5ZYA2,"People are all afraid. Today, people have begun to stock up on supplies for fear that war will return again,","Hamas says it will delay the release of more hostages, putting Gaza ceasefire at risk",AP News,,
9dSTLh09muqEKYF4m1Bv,incorporating all their physical and metaphysical elements.,"A New Zealand mountain is granted personhood, recognizing it as sacred for Māori",AP News,,
A0J3ELNIhslyezIn0ngK,"If the government thinks that its programs have been distorted by ideology, well, then they should reform the programs,",Vatican charity says Trump administration’s gutting of USAID is ‘reckless’ and could kill millions,AP News,,
A3HqOWS05envIEGIzT1B,I think that's a large part of the reason why I learned to sing.,Movies,NPR,,
A4GfdGxeRHbBmBZ4B921,"I am an action person. The depression and the sadness that we knew this was going to cause was something I couldn’t deal with,",Volunteers are now tracking what’s already been lost in the USAID freeze,AP News,,
A4ay53cY0eyjQpVJeycg,"environmental, social and governance",Efforts to put carbon dioxide underground face less support in Trump’s second term,AP News,,
A4iOa7DadiOmeGw4uTTl,"I was 11 when my family was destroyed and we haven’t recovered,",Peru’s disappeared: Dozens look for relatives lost to violence. A woman who knows their sorrow helps,AP News,,
AD2Nyp1R2cetobQYhvtE,without limitations,Colombia’s interior minister resigns as cracks deepen in President Petro’s coalition,AP News,,
AEA9ioM32ESxEohGwrYk,"Unlike a lot of what the new administration has been doing pursuant to the flood of executive orders since Jan. 20, this action seems to me entirely lawful and fully constitutional,","So long, penny! Trump orders US to ditch 1-cent coin after decades of complaints",AP News,,
AFWutksr7gaCw2YymJS0,It’s been really exciting to take this approach and meet the needs of increasing the digital acumen of the Latino community.,Latino workers working to overcome a technological divide brought on by automation and AI,AP News,,
AL3fPzS2JJxMwsntjDRL,"As the world is shifting to electric vehicles, any slowdown will put the U.S. auto industry further behind,",Trump is trying to halt the EV charger buildout. Experts say it’s not that easy,AP News,,
ANIUi2YriJw22456XOW4,"drawing a line in the sand,",Could a rebellion in eastern Congo widen into a regional war?,AP News,,
ATOyVLpIcVIaP1GEZhJo,"We grew up knowing there was nothing anyone could do to make us any less connected,","A New Zealand mountain is granted personhood, recognizing it as sacred for Māori",AP News,,
AeOAqgq3dzWVJymJkXvH,human rights violations,The Two-Way,NPR,,
Af3k72K9zgXDHP0Q7J2t,"Normalization of the relations is a must for Kosovo and for Serbia,",Kosovo’s prime minister looks for allies for new Cabinet after failing to win parliamentary majority,AP News,,
AfqM1Bx0Cod7MvkXLj2C,medical attention,NewsNews,BBC,,
AosvBuHHOI3NTuNzTbvm,"There is no safety, because any defect in the agreement leads to the return of war, and the threat of a return of war.","Hamas says it will delay the release of more hostages, putting Gaza ceasefire at risk",AP News,,
AsT4VZgQpOaHdeyh9hl0,Operation Just Cause,The Americas,NPR,,
Au3qqSNulcWd1IaO55ME,for their safety,NewsNews,BBC,,
Au6jl1StP6ymWWSvLz21,were operating in a strategic weapons manufacturing and storage site,War-torn Lebanon forms its first government in over 2 years to end deadlock,AP News,,
AzG3iHR2GLzh4Qg8JE2t,"People paid him with eggs, a banana, a couple of hens,","Paraguay’s disappeared: A dictator’s shadow is a roadblock for justice, but a few keep up the fight",AP News,,
B1zoZzJksp0srOH1e010,I campaigned on this.,Trump says he is serious about Canada becoming 51st state in Super Bowl interview,AP News,,
B3VAOngWbNNokYsJwtkJ,"I think Canada would be much better off being the 51st state because we lose $200 billion a year with Canada. And I’m not going to let that happen,",Trump says he is serious about Canada becoming 51st state in Super Bowl interview,AP News,,
B4ZzRCEu2PBuhmfBySxD,deep ignorance of Palestine and the region,Trump says no right of return for Palestinians under Gaza plan,BBC,,
B5OfBCMkJh89LeZw0Mrl,"The rights of our people and our land are not for sale, exchange or bargaining.",Trump says no right of return for Palestinians under Gaza plan,BBC,,
B8y2WxQpDxsxjSB4ZAF0,"know what regular people are going through,",Television,NPR,,
BCKzbItiFOSXqU7hCPJV,"But nevertheless, we are resilient. So we’ll try to do our best.",Trump has unleashed chaos by distraction upon the international community. That’s no accident,AP News,,
BIzmGOaNJUaNEPHZv4I1,think much of it,Moment victim's family attacks murder suspect in court,Unknown Source,,
BPrBd9LlodV1wRpQMZp9,"Everyone thinks it’s only for like, the trades,",Latino workers working to overcome a technological divide brought on by automation and AI,AP News,,
BQKoYaErlj1TiSOpcAFG,And we hope that lawyers and we hope that members of Congress can use that for their case.,Volunteers are now tracking what’s already been lost in the USAID freeze,AP News,,
Bb0ys5KJ2jqMsebZVPu2,extraordinary,UN suspends its humanitarian work in Houthi rebels’ stronghold in Yemen after more staff detentions,AP News,,
BlKkLkBMGDuW9V1b1E7R,Russia has once again deployed North Korean soldiers alongside its troops.,Zelenskyy confirms a new Ukrainian offensive in Russia’s Kursk region,AP News,,
ByON7eBcsFAnuXxuiAHy,beautiful sites,Key US trade partners nervously wait for Trump to reveal new tariffs ,BBC,,
Bygh7gMvuvpEYcxMlLPa,"People can come from all over the world and live there, but we're going to take care of the Palestinians.",Key US trade partners nervously wait for Trump to reveal new tariffs ,BBC,,
C7L7JCTVhbhrriyijxJd,human rights violations,NPRWorld,NPR,,
CF8Rg2So9VJmogKcGOzG,a serious test,Trump has unleashed chaos by distraction upon the international community. That’s no accident,AP News,,
CGQzuNxWc1xBCLpEY1V7,"We knew he was going to grow,",What the Westminster show dogs’ names mean,AP News,,
CIkRlOpcpusW7F7RxYwK,All I Want For Christmas Is You,All Songs Considered,NPR,,
CJ5Fbl8R3rcuFHcme7I5,"without problems that could violate its integrity,","Kosovo’s governing party wins parliamentary election but without majority, preliminary results show",AP News,,
CNZhY9TzDgmX9NrVI4je,"There is wide variability in this country in how people diagnose, how strict they are, and who they diagnose,",Rise in diagnoses is prompting more US adults to ask: ‘Do I have ADHD?’,AP News,,
CXEvnSTsa0Dr7oetxIp8,"Perfect Stranger,",All Songs Considered,NPR,,
CYfEIUe6VvcBI1ZGoTEJ,"I don’t know what it is,",Trump says he is serious about Canada becoming 51st state in Super Bowl interview,AP News,,
CZkdWF2FlgHGkcqqmRbR,"parental rights in education,",National,NPR,,
CdqkE1Aw38p08csZ0kb2,Unless you want the Palestinian state to be in Saudi Arabia? They have a lot of territory.,Trump says no right of return for Palestinians under Gaza plan,BBC,,
CmHuz054YdNZx9YKPB6D,"It was a prosecution by the same people — Comey, Fitzpatrick, the same group,",Trump is expected to pardon ex-Illinois Gov. Rod Blagojevich 5 years after commuting his sentence,AP News,,
Cr71r7RqkNW9N8mOnI8I,"if he had not resigned, he would have been impeached by (Romania’s) Parliament and thrown out.",Romanian President Klaus Iohannis announces resignation after pressure by populists,AP News,,
Cv1L5uINZSL0JoSn5BDj,"There are places where the court makes perfect sense. Russia is a failed state. People fall out of windows. But I never in my wildest dreams imagined they would go after Israel, which has one of the most independent legal systems on the planet.",Trump signs order imposing sanctions on International Criminal Court over investigations of Israel,AP News,,
Cx2KMaYZc918fU6Q9btf,They pressure the Palestinian people and the Palestinian economy. They make people want to leave their country.,More Israeli checkpoints are slicing up the West Bank,AP News,,
D4OqzRgev9jKHHbq0NhG,a real thing,Trump says he is serious about Canada becoming 51st state in Super Bowl interview,AP News,,
D8S83vN1OwXPoz6jqEDp,are politically motivated.,Former Colombian President Uribe denies bribery and witness tampering charges in historic trial,AP News,,
DD6CFIu8rusN72EjA7mm,because  they were,Trial witness identifies Rushdie stabbing suspect as being responsible,BBC,,
DXBwd6w692Sw18rEleC0,"It was tough,",Peru’s disappeared: Dozens look for relatives lost to violence. A woman who knows their sorrow helps,AP News,,
DlfSLDvWBURCJBzC8iLs,"Latino workers are on the frontline of automation risk, facing barriers like limited English proficiency, low digital access and educational gaps,",Latino workers working to overcome a technological divide brought on by automation and AI,AP News,,
DnqkQU1H4DCHZPMQQMtS,to ensure safe movement and expand inspections.,More Israeli checkpoints are slicing up the West Bank,AP News,,
Dpp2aloWUfcnDkN7d1fV,"So even absent government rollback of funding, we could see fewer project announcements and movements due to lower interest in decarbonizing,",Efforts to put carbon dioxide underground face less support in Trump’s second term,AP News,,
DrYz4UsfpVfYxhpYiN8r,"We are not a bad ally,",Trump has unleashed chaos by distraction upon the international community. That’s no accident,AP News,,
Dw8zwFTQgLIxxb5gfYZm,to wake up and for young people to finally react to what (political leaders) have been doing to us for the past 30 years.,"Bosnian students rally for justice, drawing inspiration from anti-graft struggle in Serbia",AP News,,
DzFBd5x81Gv6lCmwWJeu,Trump shock again,NPRWorld,NPR,,
E2D7HNzs2lFxO4gUAPfe,"raising a grave challenge to the security environment of our state,",North Korea’s Kim slams US-South Korea-Japan partnership and vows to boost his nuclear program,AP News,,
E3Dawke23p0OzZfsg4ym,"Stopping USAID will jeopardize essential services for hundreds of millions of people, undermine decades of progress in humanitarian and development assistance, destabilize regions that rely on this critical support, and condemn millions to dehumanizing poverty or even death,",Vatican charity says Trump administration’s gutting of USAID is ‘reckless’ and could kill millions,AP News,,
E5xuqXorE6bvsICb9SPc,America first,Trump has unleashed chaos by distraction upon the international community. That’s no accident,AP News,,
EAoPxLdJTUMg2HtX92Gv,"Immediately after the first deal, the conditions of my captivity and those of many other hostages severely deteriorated and became brutal,",Middle East latest: Hamas says it will delay hostage release set for Saturday,AP News,,
EGm65zRbYT3ilianxpuq,"we are committed to fostering a culture of diversity, equity and inclusion.",Business,NPR,,
EReVNeiipycADzZEWG4E,"I highly value the fact that Putin's administration strictly opposes the U.S.' dominance,",The Two-Way,NPR,,
EVo0tlNhdvGFX86KLeX8,committed to buying and owning,Key US trade partners nervously wait for Trump to reveal new tariffs ,BBC,,
Ef5QZBS5lkxdQudIzOTh,"I hope to compete internationally now that we finally have a place to train,",A new skate park in Baghdad is the safe space Iraqi youth have longed for,AP News,,
EhvRfqZ7xGtGpocDHoda,subrogation.,"Hawaii court rules against insurance companies in Maui wildfire, allowing $4B settlement to proceed",AP News,,
EiGtj1nHSmzlBjFtLgfT,"Therefore, religious organizations began visiting prisons.","Paraguay’s disappeared: A dictator’s shadow is a roadblock for justice, but a few keep up the fight",AP News,,
Eqe26Ir3AkOCSSOawq37,"I'm still alive,",The Two-Way,NPR,,
Eqit5KPjgiyNWbRcbirU,"Sometimes I feel at ease, but then I wonder, why did this happen?",Peru’s disappeared: Dozens look for relatives lost to violence. A woman who knows their sorrow helps,AP News,,
Eqr5nk637qTYImjZRhF5,committed to buying and owning Gaza,Trump says no right of return for Palestinians under Gaza plan,BBC,,
EwAtcTSijfyRUGdGKvrC,"You know, they don’t pay very much for military. And the reason they don’t pay much is they assume that we’re going to protect them,",Trump says he is serious about Canada becoming 51st state in Super Bowl interview,AP News,,
F3UWhIG7XzyzLVvz8flt,"We appeal to President Donald Trump to reverse his decision because we have lost whatever we had in Afghanistan, and he should know that we are waiting here for a bright future in America,",They helped US order airstrikes against Taliban. Now Trump’s moves have left those Afghans in limbo,AP News,,
F7UNur6i9gYGDXB4Y3Ip,"I don't know how to put it into words,",NewsNews,BBC,,
FFhh7pU54aIx2MEkCY61,I think that's a large part of the reason why I learned to sing.,Music Features,NPR,,
FIvgvp6eIim044vZdYQT,"mess around and find out,",Trump has unleashed chaos by distraction upon the international community. That’s no accident,AP News,,
FKrFJ9L467pk2h0c1Qkb,completely changed,Key US trade partners nervously wait for Trump to reveal new tariffs ,BBC,,
FNprC44I3xO6jjZoMoqC,Apocalypse Now,Movies,NPR,,
FVdjEw6NHvnOZ460rr3y,"The Israeli government and Prime Minister Netanyahu are trying to cover up the crimes of genocide, forced displacement and annexation which they have committed against our people,",Trump says no right of return for Palestinians under Gaza plan,BBC,,
FdzTmaavWwN1GPmh7e0L,Wizard of Oz,Performing Arts,NPR,,
Fpgh5ad76qv9SE9Prkqv,"Celebrity Apprentice,",Trump is expected to pardon ex-Illinois Gov. Rod Blagojevich 5 years after commuting his sentence,AP News,,
Fsm9Nv0LzKgOw9iLDzKF,Delaying their release means that some of them will not survive.,Middle East latest: Hamas says it will delay hostage release set for Saturday,AP News,,
FvEwhbaAl4Qc9ANfTyXl,"the first ever Gulf of America Day,",Trump says he is serious about Canada becoming 51st state in Super Bowl interview,AP News,,
G09zrrHMR4WzsSVRadmZ,Afro Goddess Looking Forward.,Art & Design,NPR,,
G1WbffVp1VmjTmJy3FRc,"As we got close, we were surprised that no one, not even our dogs, was around,",Peru’s disappeared: Dozens look for relatives lost to violence. A woman who knows their sorrow helps,AP News,,
G4rhtlD47ykOlcMrQBKc,"Having a disappeared doesn’t mean that a loved one simply left,","Paraguay’s disappeared: A dictator’s shadow is a roadblock for justice, but a few keep up the fight",AP News,,
GEaQw4gAxfoGxR1OGYQ7,"The amphitheatre became
full of sound, and in the first seconds I heard it I wasnât sure if it was
screaming or laughing or both,",Trial witness identifies Rushdie stabbing suspect as being responsible,BBC,,
